experiment,reference,scope,unit_id,comparison,classifier,accuracy_reference,accuracy_experiment,delta_accuracy
e2c_coh_plv,poster_baseline,inter,pftest,rest1_vs_type1,KFDA,0.5,0.6333333333333333,0.1333333333333333
e2c_coh_plv,poster_baseline,inter,yen,rest1_vs_type1,LDA,0.5333333333333333,0.75,0.21666666666666667
e2c_coh_plv,poster_baseline,inter,yen,rest1_vs_type1,RBF-SVM,0.5333333333333333,0.6666666666666666,0.1333333333333333
e2c_coh_plv,poster_baseline,inter,yen,rest1_vs_type1,KFDA,0.5333333333333333,0.7,0.16666666666666663
e2c_coh_plv,poster_baseline,inter,irene,rest2_vs_type2,LDA,0.4833333333333333,0.55,0.06666666666666676
e2c_coh_plv,poster_baseline,inter,irene,rest2_vs_type2,RBF-SVM,0.4666666666666667,0.5166666666666667,0.050000000000000044
e2c_coh_plv,poster_baseline,inter,irene,rest2_vs_type2,KFDA,0.4666666666666667,0.5,0.033333333333333326
e2c_coh_plv,poster_baseline,inter,jh,rest2_vs_type2,LDA,0.5,0.5,0.0
e2c_coh_plv,poster_baseline,inter,jh,rest2_vs_type2,RBF-SVM,0.5166666666666667,0.5,-0.01666666666666672
e2c_coh_plv,poster_baseline,inter,jh,rest2_vs_type2,KFDA,0.5,0.5,0.0
e2c_coh_plv,poster_baseline,inter,lin,rest2_vs_type2,LDA,0.5,0.5166666666666667,0.01666666666666672
e2c_coh_plv,poster_baseline,inter,lin,rest2_vs_type2,RBF-SVM,0.5,0.2,-0.3
e2c_coh_plv,poster_baseline,inter,lin,rest2_vs_type2,KFDA,0.3666666666666666,0.16666666666666666,-0.19999999999999993
e2c_coh_plv,poster_baseline,inter,pftest,rest2_vs_type2,LDA,0.6166666666666667,0.55,-0.06666666666666665
e2c_coh_plv,poster_baseline,inter,pftest,rest2_vs_type2,RBF-SVM,0.5666666666666667,0.65,0.08333333333333337
e2c_coh_plv,poster_baseline,inter,pftest,rest2_vs_type2,KFDA,0.6,0.55,-0.04999999999999993
e2c_coh_plv,poster_baseline,inter,yen,rest2_vs_type2,LDA,0.5333333333333333,0.5333333333333333,0.0
e2c_coh_plv,poster_baseline,inter,yen,rest2_vs_type2,RBF-SVM,0.5333333333333333,0.5333333333333333,0.0
e2c_coh_plv,poster_baseline,inter,yen,rest2_vs_type2,KFDA,0.5166666666666667,0.5166666666666667,0.0
e3_all_extensions,poster_baseline,intra,irene,rest1_vs_type1,KFDA,0.7166666666666667,0.8333333333333334,0.1166666666666667
e3_all_extensions,poster_baseline,intra,irene,rest1_vs_type1,LDA,0.7333333333333333,0.9,0.16666666666666674
e3_all_extensions,poster_baseline,intra,irene,rest1_vs_type1,RBF-SVM,0.7666666666666667,0.9166666666666666,0.1499999999999999
